year,Ashby
1880,5
1881,0
1882,6
1883,0
1884,0
1885,10
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,8
1894,0
1895,6
1896,10
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,7
1907,10
1908,6
1909,0
1910,0
1911,0
1912,10
1913,12
1914,18
1915,19
1916,21
1917,21
1918,31
1919,18
1920,20
1921,19
1922,20
1923,20
1924,14
1925,14
1926,23
1927,21
1928,21
1929,18
1930,15
1931,21
1932,13
1933,12
1934,12
1935,14
1936,5
1937,7
1938,12
1939,13
1940,12
1941,21
1942,11
1943,15
1944,16
1945,10
1946,17
1947,16
1948,13
1949,21
1950,7
1951,15
1952,8
1953,12
1954,10
1955,12
1956,11
1957,9
1958,5
1959,6
1960,8
1961,6
1962,12
1963,13
1964,6
1965,9
1966,7
1967,7
1968,5
1969,11
1970,12
1971,7
1972,8
1973,0
1974,10
1975,6
1976,12
1977,10
1978,14
1979,18
1980,10
1981,12
1982,19
1983,15
1984,17
1985,30
1986,18
1987,24
1988,18
1989,22
1990,21
1991,20
1992,28
1993,23
1994,28
1995,32
1996,21
1997,27
1998,31
1999,28
2000,35
2001,34
2002,34
2003,43
2004,43
2005,44
2006,35
2007,45
2008,46
2009,45
2010,45
2011,56
2012,44
