year,Arla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,8
1898,10
1899,5
1900,5
1901,11
1902,0
1903,6
1904,7
1905,0
1906,6
1907,6
1908,5
1909,0
1910,9
1911,11
1912,9
1913,7
1914,16
1915,31
1916,36
1917,33
1918,33
1919,36
1920,25
1921,44
1922,30
1923,31
1924,40
1925,40
1926,48
1927,50
1928,49
1929,43
1930,65
1931,46
1932,56
1933,54
1934,64
1935,56
1936,57
1937,54
1938,48
1939,53
1940,51
1941,62
1942,43
1943,58
1944,32
1945,38
1946,48
1947,40
1948,56
1949,37
1950,44
1951,60
1952,40
1953,46
1954,32
1955,45
1956,36
1957,30
1958,27
1959,37
1960,35
1961,16
1962,28
1963,34
1964,27
1965,22
1966,28
1967,16
1968,22
1969,14
1970,21
1971,15
1972,10
1973,13
1974,5
1975,12
1976,8
1977,12
1978,9
1979,7
1980,16
1981,9
1982,8
1983,13
1984,0
1985,9
1986,5
1987,5
1988,5
1989,5
1990,0
1991,10
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,5
2009,0
2010,0
2011,6
2012,6
