year,Audrie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,6
1905,9
1906,7
1907,6
1908,0
1909,7
1910,14
1911,7
1912,7
1913,9
1914,20
1915,22
1916,22
1917,19
1918,31
1919,29
1920,27
1921,36
1922,34
1923,33
1924,38
1925,33
1926,37
1927,34
1928,27
1929,22
1930,23
1931,28
1932,21
1933,20
1934,25
1935,21
1936,12
1937,13
1938,12
1939,11
1940,14
1941,13
1942,17
1943,10
1944,13
1945,7
1946,7
1947,12
1948,0
1949,11
1950,12
1951,12
1952,7
1953,9
1954,9
1955,9
1956,13
1957,11
1958,9
1959,12
1960,7
1961,8
1962,11
1963,10
1964,10
1965,13
1966,5
1967,9
1968,6
1969,13
1970,12
1971,11
1972,19
1973,14
1974,18
1975,23
1976,11
1977,15
1978,17
1979,25
1980,14
1981,26
1982,26
1983,30
1984,32
1985,29
1986,29
1987,30
1988,23
1989,32
1990,28
1991,40
1992,38
1993,37
1994,45
1995,31
1996,49
1997,44
1998,58
1999,66
2000,60
2001,74
2002,77
2003,70
2004,81
2005,105
2006,98
2007,115
2008,126
2009,136
2010,116
2011,143
2012,128
