year,Abby
1880,6
1881,7
1882,11
1883,0
1884,6
1885,5
1886,7
1887,5
1888,9
1889,8
1890,6
1891,12
1892,6
1893,10
1894,5
1895,0
1896,6
1897,6
1898,6
1899,0
1900,7
1901,6
1902,7
1903,10
1904,0
1905,0
1906,6
1907,5
1908,0
1909,8
1910,6
1911,13
1912,8
1913,11
1914,11
1915,11
1916,16
1917,11
1918,6
1919,17
1920,15
1921,11
1922,13
1923,15
1924,20
1925,26
1926,29
1927,18
1928,29
1929,11
1930,16
1931,19
1932,21
1933,15
1934,15
1935,26
1936,18
1937,25
1938,21
1939,24
1940,37
1941,32
1942,51
1943,52
1944,32
1945,34
1946,47
1947,54
1948,65
1949,58
1950,75
1951,82
1952,94
1953,90
1954,108
1955,108
1956,117
1957,168
1958,154
1959,177
1960,247
1961,236
1962,286
1963,236
1964,217
1965,222
1966,187
1967,161
1968,134
1969,148
1970,171
1971,204
1972,168
1973,191
1974,220
1975,241
1976,256
1977,284
1978,623
1979,792
1980,935
1981,1217
1982,1304
1983,1316
1984,1263
1985,1215
1986,1124
1987,1059
1988,1229
1989,1282
1990,1293
1991,1171
1992,1082
1993,1176
1994,1372
1995,1383
1996,1423
1997,1564
1998,1613
1999,1817
2000,1565
2001,1985
2002,1961
2003,2048
2004,2043
2005,1753
2006,1689
2007,1584
2008,1333
2009,1283
2010,1144
2011,1059
2012,1035
