year,Ammon
1880,0
1881,7
1882,0
1883,6
1884,8
1885,5
1886,0
1887,0
1888,0
1889,6
1890,6
1891,10
1892,0
1893,6
1894,6
1895,0
1896,0
1897,0
1898,0
1899,0
1900,12
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,9
1913,10
1914,11
1915,16
1916,16
1917,14
1918,17
1919,10
1920,13
1921,13
1922,15
1923,13
1924,16
1925,13
1926,9
1927,19
1928,10
1929,8
1930,11
1931,14
1932,16
1933,14
1934,16
1935,0
1936,6
1937,6
1938,7
1939,7
1940,11
1941,9
1942,14
1943,11
1944,10
1945,12
1946,9
1947,9
1948,8
1949,14
1950,8
1951,11
1952,6
1953,6
1954,10
1955,7
1956,7
1957,9
1958,8
1959,5
1960,9
1961,6
1962,11
1963,6
1964,7
1965,7
1966,8
1967,9
1968,11
1969,12
1970,12
1971,14
1972,15
1973,23
1974,30
1975,35
1976,37
1977,44
1978,48
1979,52
1980,50
1981,38
1982,48
1983,39
1984,49
1985,44
1986,42
1987,40
1988,54
1989,47
1990,53
1991,49
1992,56
1993,51
1994,56
1995,67
1996,79
1997,88
1998,87
1999,77
2000,107
2001,110
2002,128
2003,105
2004,94
2005,110
2006,105
2007,121
2008,102
2009,99
2010,96
2011,82
2012,105
