year,Arlie
1880,7
1881,0
1882,6
1883,19
1884,23
1885,16
1886,16
1887,22
1888,30
1889,23
1890,31
1891,32
1892,34
1893,34
1894,28
1895,38
1896,32
1897,35
1898,29
1899,29
1900,38
1901,39
1902,30
1903,36
1904,46
1905,36
1906,49
1907,48
1908,42
1909,60
1910,49
1911,50
1912,86
1913,104
1914,138
1915,155
1916,204
1917,205
1918,206
1919,184
1920,203
1921,249
1922,210
1923,200
1924,185
1925,187
1926,181
1927,191
1928,193
1929,142
1930,163
1931,162
1932,155
1933,143
1934,134
1935,103
1936,118
1937,113
1938,99
1939,121
1940,113
1941,103
1942,104
1943,130
1944,112
1945,83
1946,95
1947,105
1948,106
1949,83
1950,68
1951,64
1952,75
1953,85
1954,79
1955,72
1956,60
1957,83
1958,59
1959,42
1960,50
1961,37
1962,64
1963,45
1964,50
1965,28
1966,39
1967,32
1968,32
1969,29
1970,38
1971,25
1972,22
1973,22
1974,28
1975,25
1976,23
1977,19
1978,16
1979,19
1980,22
1981,21
1982,19
1983,26
1984,35
1985,23
1986,19
1987,9
1988,27
1989,9
1990,9
1991,12
1992,18
1993,21
1994,9
1995,7
1996,14
1997,14
1998,25
1999,17
2000,18
2001,20
2002,18
2003,16
2004,22
2005,24
2006,21
2007,20
2008,24
2009,27
2010,25
2011,34
2012,27
