year,Arleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,7
1900,0
1901,5
1902,5
1903,9
1904,5
1905,9
1906,8
1907,10
1908,13
1909,9
1910,14
1911,24
1912,26
1913,24
1914,44
1915,70
1916,73
1917,76
1918,91
1919,94
1920,134
1921,131
1922,152
1923,176
1924,178
1925,185
1926,160
1927,191
1928,159
1929,143
1930,144
1931,99
1932,104
1933,88
1934,88
1935,93
1936,98
1937,98
1938,311
1939,415
1940,268
1941,316
1942,304
1943,353
1944,241
1945,174
1946,262
1947,301
1948,214
1949,133
1950,222
1951,214
1952,215
1953,236
1954,199
1955,231
1956,218
1957,224
1958,183
1959,239
1960,253
1961,286
1962,281
1963,219
1964,186
1965,190
1966,129
1967,107
1968,88
1969,72
1970,58
1971,43
1972,38
1973,39
1974,26
1975,26
1976,24
1977,30
1978,28
1979,19
1980,28
1981,27
1982,30
1983,30
1984,28
1985,32
1986,39
1987,26
1988,35
1989,29
1990,35
1991,39
1992,30
1993,37
1994,36
1995,33
1996,36
1997,32
1998,45
1999,48
2000,40
2001,47
2002,48
2003,50
2004,51
2005,73
2006,67
2007,53
2008,68
2009,49
2010,58
2011,61
2012,56
