year,Alden
1880,9
1881,6
1882,8
1883,12
1884,6
1885,5
1886,8
1887,7
1888,6
1889,10
1890,10
1891,9
1892,9
1893,5
1894,8
1895,8
1896,10
1897,9
1898,17
1899,9
1900,13
1901,10
1902,10
1903,11
1904,18
1905,19
1906,14
1907,24
1908,28
1909,12
1910,13
1911,46
1912,79
1913,93
1914,113
1915,155
1916,174
1917,166
1918,181
1919,167
1920,180
1921,193
1922,184
1923,176
1924,188
1925,173
1926,183
1927,141
1928,171
1929,164
1930,146
1931,133
1932,158
1933,114
1934,144
1935,106
1936,126
1937,132
1938,119
1939,117
1940,116
1941,103
1942,112
1943,126
1944,105
1945,105
1946,79
1947,124
1948,96
1949,83
1950,89
1951,99
1952,95
1953,102
1954,87
1955,103
1956,119
1957,86
1958,87
1959,92
1960,86
1961,85
1962,60
1963,84
1964,76
1965,76
1966,66
1967,62
1968,54
1969,72
1970,59
1971,48
1972,44
1973,47
1974,45
1975,62
1976,43
1977,57
1978,58
1979,63
1980,57
1981,72
1982,91
1983,77
1984,92
1985,99
1986,97
1987,90
1988,113
1989,103
1990,128
1991,104
1992,134
1993,122
1994,134
1995,159
1996,161
1997,159
1998,221
1999,171
2000,212
2001,184
2002,203
2003,288
2004,297
2005,281
2006,280
2007,303
2008,250
2009,261
2010,276
2011,259
2012,318
