year,Alena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,5
1894,7
1895,0
1896,8
1897,0
1898,13
1899,5
1900,7
1901,0
1902,8
1903,6
1904,0
1905,5
1906,9
1907,6
1908,6
1909,5
1910,6
1911,7
1912,6
1913,14
1914,13
1915,18
1916,22
1917,16
1918,20
1919,13
1920,25
1921,16
1922,24
1923,9
1924,20
1925,21
1926,16
1927,16
1928,21
1929,12
1930,13
1931,14
1932,9
1933,9
1934,15
1935,9
1936,0
1937,10
1938,15
1939,12
1940,8
1941,8
1942,12
1943,11
1944,8
1945,17
1946,13
1947,9
1948,13
1949,14
1950,16
1951,12
1952,9
1953,15
1954,15
1955,28
1956,17
1957,29
1958,23
1959,30
1960,27
1961,25
1962,32
1963,54
1964,53
1965,43
1966,48
1967,57
1968,39
1969,68
1970,68
1971,61
1972,72
1973,73
1974,88
1975,75
1976,95
1977,101
1978,112
1979,124
1980,151
1981,139
1982,133
1983,115
1984,90
1985,163
1986,120
1987,118
1988,118
1989,158
1990,157
1991,141
1992,172
1993,186
1994,205
1995,246
1996,258
1997,260
1998,280
1999,290
2000,321
2001,346
2002,333
2003,399
2004,406
2005,401
2006,430
2007,432
2008,441
2009,402
2010,383
2011,368
2012,374
