year,Archer
1880,9
1881,8
1882,8
1883,0
1884,7
1885,5
1886,0
1887,9
1888,10
1889,5
1890,0
1891,0
1892,0
1893,5
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,6
1907,7
1908,0
1909,7
1910,6
1911,5
1912,13
1913,9
1914,13
1915,25
1916,24
1917,24
1918,35
1919,38
1920,26
1921,38
1922,18
1923,25
1924,25
1925,18
1926,25
1927,16
1928,16
1929,14
1930,14
1931,8
1932,14
1933,9
1934,15
1935,12
1936,13
1937,18
1938,8
1939,10
1940,10
1941,15
1942,13
1943,15
1944,13
1945,18
1946,12
1947,18
1948,10
1949,10
1950,15
1951,16
1952,11
1953,11
1954,13
1955,14
1956,10
1957,10
1958,9
1959,11
1960,7
1961,10
1962,12
1963,11
1964,11
1965,5
1966,8
1967,11
1968,0
1969,8
1970,11
1971,10
1972,8
1973,5
1974,0
1975,5
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,6
1989,6
1990,6
1991,7
1992,6
1993,8
1994,8
1995,11
1996,14
1997,13
1998,16
1999,38
2000,29
2001,41
2002,61
2003,62
2004,96
2005,104
2006,104
2007,159
2008,189
2009,367
2010,464
2011,616
2012,731
