year,Ardell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,6
1892,6
1893,0
1894,8
1895,7
1896,0
1897,6
1898,10
1899,9
1900,13
1901,6
1902,10
1903,12
1904,8
1905,10
1906,11
1907,20
1908,14
1909,9
1910,22
1911,30
1912,40
1913,47
1914,77
1915,82
1916,89
1917,100
1918,105
1919,131
1920,136
1921,130
1922,143
1923,151
1924,115
1925,144
1926,133
1927,128
1928,122
1929,110
1930,119
1931,110
1932,109
1933,108
1934,95
1935,121
1936,89
1937,87
1938,92
1939,87
1940,76
1941,66
1942,73
1943,94
1944,66
1945,50
1946,63
1947,66
1948,51
1949,53
1950,56
1951,59
1952,77
1953,52
1954,52
1955,62
1956,49
1957,38
1958,30
1959,42
1960,28
1961,25
1962,29
1963,32
1964,27
1965,21
1966,27
1967,15
1968,12
1969,17
1970,22
1971,27
1972,15
1973,8
1974,17
1975,14
1976,21
1977,25
1978,12
1979,8
1980,11
1981,11
1982,11
1983,12
1984,8
1985,10
1986,8
1987,7
1988,9
1989,10
1990,10
1991,8
1992,13
1993,5
1994,6
1995,8
1996,0
1997,0
1998,7
1999,8
2000,8
2001,6
2002,6
2003,10
2004,7
2005,0
2006,7
2007,0
2008,6
2009,6
2010,5
2011,6
2012,0
