year,Anise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,7
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,9
1915,8
1916,11
1917,9
1918,6
1919,8
1920,14
1921,12
1922,6
1923,9
1924,12
1925,12
1926,6
1927,6
1928,10
1929,6
1930,11
1931,9
1932,0
1933,7
1934,10
1935,8
1936,9
1937,8
1938,7
1939,6
1940,8
1941,6
1942,5
1943,6
1944,8
1945,0
1946,9
1947,13
1948,6
1949,6
1950,16
1951,9
1952,6
1953,10
1954,12
1955,10
1956,17
1957,12
1958,16
1959,11
1960,12
1961,7
1962,13
1963,5
1964,6
1965,9
1966,7
1967,9
1968,0
1969,9
1970,12
1971,16
1972,12
1973,14
1974,8
1975,5
1976,6
1977,14
1978,11
1979,13
1980,7
1981,12
1982,5
1983,9
1984,13
1985,12
1986,12
1987,13
1988,9
1989,16
1990,15
1991,6
1992,23
1993,15
1994,15
1995,16
1996,13
1997,20
1998,14
1999,15
2000,13
2001,23
2002,23
2003,20
2004,23
2005,22
2006,17
2007,21
2008,16
2009,13
2010,22
2011,19
2012,16
