year,Alvan
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,13
1913,15
1914,14
1915,23
1916,25
1917,26
1918,29
1919,17
1920,27
1921,26
1922,15
1923,19
1924,28
1925,32
1926,48
1927,53
1928,25
1929,27
1930,19
1931,21
1932,32
1933,19
1934,15
1935,18
1936,16
1937,18
1938,14
1939,14
1940,9
1941,13
1942,14
1943,20
1944,19
1945,13
1946,14
1947,22
1948,10
1949,23
1950,12
1951,17
1952,11
1953,14
1954,9
1955,8
1956,8
1957,7
1958,6
1959,9
1960,8
1961,12
1962,7
1963,0
1964,5
1965,0
1966,5
1967,5
1968,7
1969,0
1970,0
1971,7
1972,0
1973,0
1974,8
1975,8
1976,6
1977,6
1978,5
1979,6
1980,6
1981,0
1982,6
1983,0
1984,0
1985,0
1986,7
1987,0
1988,0
1989,8
1990,8
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,6
2004,0
2005,10
2006,6
2007,11
2008,6
2009,5
2010,0
2011,0
2012,0
