year,Ailene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,11
1904,0
1905,5
1906,10
1907,7
1908,12
1909,6
1910,5
1911,8
1912,9
1913,16
1914,19
1915,18
1916,39
1917,36
1918,38
1919,37
1920,42
1921,42
1922,36
1923,43
1924,51
1925,49
1926,56
1927,50
1928,40
1929,39
1930,32
1931,42
1932,34
1933,38
1934,20
1935,25
1936,36
1937,26
1938,27
1939,24
1940,23
1941,17
1942,13
1943,10
1944,16
1945,23
1946,18
1947,15
1948,19
1949,15
1950,13
1951,13
1952,19
1953,9
1954,23
1955,12
1956,10
1957,10
1958,11
1959,16
1960,25
1961,9
1962,9
1963,12
1964,16
1965,15
1966,17
1967,0
1968,8
1969,5
1970,11
1971,9
1972,7
1973,0
1974,8
1975,7
1976,12
1977,5
1978,0
1979,7
1980,8
1981,0
1982,10
1983,9
1984,0
1985,8
1986,8
1987,0
1988,7
1989,5
1990,9
1991,10
1992,7
1993,10
1994,5
1995,7
1996,14
1997,14
1998,21
1999,21
2000,26
2001,28
2002,20
2003,29
2004,26
2005,28
2006,22
2007,30
2008,36
2009,25
2010,20
2011,27
2012,21
