year,Aline
1880,11
1881,11
1882,9
1883,11
1884,15
1885,25
1886,18
1887,19
1888,36
1889,30
1890,30
1891,31
1892,37
1893,45
1894,41
1895,60
1896,70
1897,57
1898,75
1899,76
1900,85
1901,58
1902,67
1903,90
1904,81
1905,110
1906,115
1907,110
1908,123
1909,143
1910,141
1911,143
1912,202
1913,209
1914,277
1915,307
1916,340
1917,351
1918,363
1919,351
1920,445
1921,370
1922,345
1923,288
1924,376
1925,370
1926,349
1927,311
1928,291
1929,271
1930,282
1931,235
1932,220
1933,207
1934,208
1935,159
1936,176
1937,163
1938,134
1939,124
1940,136
1941,97
1942,120
1943,140
1944,129
1945,101
1946,109
1947,122
1948,100
1949,97
1950,94
1951,98
1952,112
1953,97
1954,79
1955,98
1956,91
1957,84
1958,88
1959,78
1960,100
1961,90
1962,90
1963,67
1964,64
1965,67
1966,36
1967,37
1968,39
1969,30
1970,33
1971,24
1972,24
1973,23
1974,21
1975,23
1976,31
1977,23
1978,19
1979,29
1980,28
1981,24
1982,22
1983,18
1984,36
1985,26
1986,27
1987,37
1988,27
1989,40
1990,47
1991,41
1992,27
1993,37
1994,34
1995,38
1996,33
1997,35
1998,44
1999,86
2000,66
2001,79
2002,73
2003,61
2004,71
2005,52
2006,65
2007,65
2008,52
2009,68
2010,57
2011,58
2012,49
