year,Adelaide
1880,65
1881,62
1882,74
1883,85
1884,98
1885,94
1886,94
1887,104
1888,98
1889,105
1890,102
1891,119
1892,112
1893,144
1894,136
1895,142
1896,130
1897,142
1898,148
1899,144
1900,183
1901,147
1902,151
1903,144
1904,123
1905,130
1906,154
1907,150
1908,167
1909,198
1910,206
1911,223
1912,299
1913,321
1914,396
1915,502
1916,449
1917,537
1918,486
1919,489
1920,471
1921,438
1922,414
1923,368
1924,330
1925,308
1926,275
1927,281
1928,240
1929,220
1930,209
1931,148
1932,130
1933,118
1934,139
1935,102
1936,128
1937,110
1938,117
1939,97
1940,110
1941,111
1942,94
1943,113
1944,75
1945,67
1946,66
1947,80
1948,84
1949,64
1950,64
1951,58
1952,57
1953,53
1954,55
1955,44
1956,49
1957,46
1958,33
1959,39
1960,36
1961,28
1962,32
1963,26
1964,23
1965,18
1966,20
1967,26
1968,17
1969,16
1970,14
1971,13
1972,13
1973,9
1974,16
1975,17
1976,14
1977,22
1978,23
1979,26
1980,18
1981,18
1982,25
1983,34
1984,26
1985,30
1986,31
1987,34
1988,39
1989,29
1990,41
1991,48
1992,49
1993,55
1994,76
1995,62
1996,81
1997,91
1998,106
1999,115
2000,133
2001,165
2002,174
2003,167
2004,211
2005,278
2006,285
2007,410
2008,557
2009,535
2010,709
2011,775
2012,919
