year,Aron
1880,8
1881,14
1882,8
1883,8
1884,11
1885,11
1886,13
1887,11
1888,7
1889,9
1890,13
1891,8
1892,11
1893,13
1894,9
1895,10
1896,17
1897,8
1898,12
1899,9
1900,16
1901,12
1902,20
1903,11
1904,19
1905,12
1906,19
1907,21
1908,21
1909,28
1910,28
1911,25
1912,31
1913,34
1914,48
1915,71
1916,73
1917,62
1918,79
1919,77
1920,83
1921,78
1922,67
1923,63
1924,79
1925,74
1926,83
1927,84
1928,95
1929,75
1930,67
1931,56
1932,66
1933,42
1934,59
1935,53
1936,47
1937,52
1938,55
1939,47
1940,35
1941,39
1942,31
1943,55
1944,42
1945,31
1946,40
1947,54
1948,51
1949,47
1950,31
1951,51
1952,53
1953,47
1954,58
1955,49
1956,56
1957,50
1958,107
1959,99
1960,95
1961,79
1962,64
1963,75
1964,73
1965,76
1966,87
1967,84
1968,97
1969,106
1970,195
1971,201
1972,181
1973,250
1974,255
1975,261
1976,266
1977,308
1978,321
1979,329
1980,287
1981,325
1982,292
1983,308
1984,298
1985,248
1986,250
1987,239
1988,261
1989,312
1990,288
1991,298
1992,351
1993,324
1994,292
1995,324
1996,317
1997,316
1998,315
1999,299
2000,330
2001,294
2002,301
2003,304
2004,332
2005,356
2006,376
2007,402
2008,426
2009,383
2010,398
2011,369
2012,346
