year,Algernon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,10
1914,13
1915,9
1916,11
1917,10
1918,7
1919,6
1920,8
1921,10
1922,12
1923,13
1924,8
1925,8
1926,7
1927,5
1928,5
1929,6
1930,8
1931,0
1932,9
1933,6
1934,7
1935,0
1936,8
1937,7
1938,6
1939,5
1940,5
1941,6
1942,6
1943,0
1944,0
1945,0
1946,0
1947,8
1948,10
1949,11
1950,7
1951,13
1952,7
1953,10
1954,9
1955,10
1956,8
1957,10
1958,10
1959,16
1960,11
1961,8
1962,0
1963,6
1964,9
1965,11
1966,14
1967,10
1968,18
1969,15
1970,15
1971,28
1972,29
1973,18
1974,22
1975,26
1976,9
1977,17
1978,17
1979,18
1980,21
1981,12
1982,14
1983,10
1984,12
1985,12
1986,15
1987,21
1988,21
1989,18
1990,19
1991,18
1992,14
1993,16
1994,6
1995,8
1996,0
1997,12
1998,0
1999,7
2000,5
2001,7
2002,5
2003,0
2004,0
2005,0
2006,6
2007,9
2008,0
2009,5
2010,9
2011,0
2012,0
