year,Auther
1880,6
1881,7
1882,6
1883,8
1884,7
1885,0
1886,10
1887,0
1888,10
1889,7
1890,0
1891,10
1892,0
1893,0
1894,6
1895,5
1896,5
1897,5
1898,7
1899,5
1900,11
1901,6
1902,7
1903,6
1904,0
1905,0
1906,14
1907,8
1908,6
1909,0
1910,11
1911,13
1912,16
1913,16
1914,31
1915,31
1916,37
1917,48
1918,50
1919,48
1920,54
1921,45
1922,48
1923,58
1924,49
1925,71
1926,68
1927,54
1928,59
1929,59
1930,65
1931,40
1932,58
1933,45
1934,55
1935,46
1936,45
1937,52
1938,53
1939,43
1940,49
1941,41
1942,51
1943,42
1944,42
1945,32
1946,40
1947,36
1948,45
1949,22
1950,31
1951,32
1952,21
1953,24
1954,20
1955,19
1956,26
1957,29
1958,24
1959,13
1960,14
1961,19
1962,13
1963,15
1964,9
1965,8
1966,8
1967,5
1968,9
1969,8
1970,10
1971,11
1972,6
1973,6
1974,7
1975,8
1976,6
1977,7
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,10
1987,7
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
