year,Astrid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,9
1893,7
1894,5
1895,5
1896,6
1897,0
1898,9
1899,5
1900,6
1901,7
1902,7
1903,9
1904,9
1905,16
1906,11
1907,27
1908,21
1909,19
1910,18
1911,21
1912,39
1913,42
1914,50
1915,69
1916,54
1917,44
1918,47
1919,42
1920,17
1921,22
1922,21
1923,21
1924,16
1925,18
1926,37
1927,45
1928,32
1929,18
1930,23
1931,16
1932,23
1933,15
1934,23
1935,37
1936,30
1937,25
1938,29
1939,23
1940,27
1941,13
1942,23
1943,15
1944,7
1945,10
1946,14
1947,8
1948,13
1949,12
1950,15
1951,12
1952,18
1953,10
1954,21
1955,11
1956,12
1957,15
1958,23
1959,32
1960,23
1961,32
1962,29
1963,26
1964,31
1965,38
1966,32
1967,50
1968,32
1969,42
1970,49
1971,34
1972,38
1973,42
1974,28
1975,21
1976,31
1977,32
1978,31
1979,36
1980,46
1981,44
1982,71
1983,54
1984,52
1985,57
1986,59
1987,51
1988,66
1989,72
1990,100
1991,146
1992,119
1993,93
1994,128
1995,188
1996,196
1997,191
1998,155
1999,181
2000,168
2001,197
2002,199
2003,184
2004,255
2005,264
2006,209
2007,186
2008,190
2009,197
2010,185
2011,234
2012,248
