year,Adrien
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,6
1905,0
1906,5
1907,0
1908,0
1909,6
1910,0
1911,6
1912,10
1913,18
1914,22
1915,33
1916,26
1917,23
1918,36
1919,23
1920,35
1921,31
1922,31
1923,30
1924,37
1925,33
1926,37
1927,27
1928,29
1929,26
1930,12
1931,22
1932,17
1933,18
1934,12
1935,20
1936,11
1937,11
1938,13
1939,8
1940,11
1941,13
1942,23
1943,24
1944,15
1945,22
1946,11
1947,20
1948,27
1949,24
1950,25
1951,11
1952,11
1953,11
1954,16
1955,6
1956,15
1957,20
1958,15
1959,22
1960,15
1961,21
1962,22
1963,22
1964,28
1965,22
1966,21
1967,32
1968,33
1969,29
1970,38
1971,45
1972,44
1973,46
1974,43
1975,51
1976,74
1977,74
1978,103
1979,106
1980,101
1981,90
1982,127
1983,102
1984,105
1985,115
1986,97
1987,100
1988,124
1989,126
1990,140
1991,113
1992,116
1993,139
1994,130
1995,136
1996,144
1997,151
1998,143
1999,157
2000,185
2001,188
2002,226
2003,262
2004,257
2005,320
2006,305
2007,266
2008,341
2009,367
2010,302
2011,335
2012,351
