year,Arlin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,9
1911,6
1912,8
1913,24
1914,28
1915,46
1916,34
1917,28
1918,45
1919,38
1920,39
1921,36
1922,48
1923,50
1924,60
1925,44
1926,56
1927,55
1928,66
1929,56
1930,62
1931,62
1932,70
1933,81
1934,81
1935,85
1936,73
1937,56
1938,83
1939,75
1940,75
1941,64
1942,55
1943,69
1944,45
1945,53
1946,50
1947,71
1948,55
1949,51
1950,53
1951,58
1952,52
1953,66
1954,30
1955,48
1956,58
1957,46
1958,47
1959,44
1960,48
1961,32
1962,40
1963,41
1964,33
1965,36
1966,29
1967,23
1968,35
1969,25
1970,40
1971,20
1972,22
1973,18
1974,21
1975,18
1976,14
1977,17
1978,18
1979,22
1980,18
1981,16
1982,21
1983,27
1984,24
1985,23
1986,29
1987,17
1988,31
1989,36
1990,30
1991,37
1992,37
1993,26
1994,36
1995,20
1996,38
1997,22
1998,31
1999,27
2000,46
2001,51
2002,57
2003,45
2004,42
2005,55
2006,51
2007,51
2008,41
2009,33
2010,39
2011,32
2012,44
