year,Author
1880,6
1881,5
1882,8
1883,11
1884,6
1885,0
1886,7
1887,6
1888,0
1889,0
1890,8
1891,0
1892,5
1893,5
1894,10
1895,0
1896,0
1897,0
1898,11
1899,0
1900,7
1901,6
1902,5
1903,6
1904,10
1905,9
1906,0
1907,7
1908,10
1909,7
1910,16
1911,7
1912,14
1913,18
1914,19
1915,21
1916,33
1917,26
1918,30
1919,38
1920,42
1921,41
1922,54
1923,46
1924,43
1925,38
1926,49
1927,45
1928,50
1929,43
1930,51
1931,36
1932,42
1933,59
1934,29
1935,37
1936,43
1937,49
1938,40
1939,43
1940,46
1941,36
1942,45
1943,45
1944,37
1945,35
1946,46
1947,35
1948,29
1949,40
1950,39
1951,40
1952,31
1953,18
1954,38
1955,28
1956,28
1957,16
1958,25
1959,22
1960,16
1961,12
1962,19
1963,12
1964,12
1965,8
1966,9
1967,7
1968,17
1969,10
1970,6
1971,0
1972,7
1973,0
1974,6
1975,13
1976,9
1977,7
1978,0
1979,6
1980,5
1981,6
1982,0
1983,0
1984,5
1985,0
1986,5
1987,7
1988,0
1989,0
1990,0
1991,12
1992,8
1993,7
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
