year,Angele
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,7
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,5
1901,5
1902,0
1903,6
1904,0
1905,0
1906,0
1907,5
1908,7
1909,0
1910,0
1911,7
1912,7
1913,0
1914,10
1915,8
1916,6
1917,9
1918,8
1919,6
1920,7
1921,0
1922,5
1923,9
1924,0
1925,6
1926,5
1927,7
1928,6
1929,5
1930,6
1931,0
1932,8
1933,0
1934,6
1935,8
1936,0
1937,6
1938,0
1939,5
1940,0
1941,8
1942,0
1943,9
1944,6
1945,0
1946,6
1947,12
1948,6
1949,10
1950,8
1951,8
1952,12
1953,0
1954,9
1955,6
1956,14
1957,19
1958,15
1959,17
1960,19
1961,19
1962,30
1963,34
1964,28
1965,31
1966,36
1967,19
1968,31
1969,32
1970,37
1971,33
1972,39
1973,35
1974,20
1975,39
1976,27
1977,27
1978,28
1979,20
1980,20
1981,31
1982,23
1983,23
1984,31
1985,23
1986,20
1987,18
1988,24
1989,18
1990,17
1991,16
1992,9
1993,14
1994,19
1995,20
1996,10
1997,15
1998,17
1999,19
2000,12
2001,15
2002,16
2003,17
2004,12
2005,18
2006,13
2007,11
2008,9
2009,7
2010,9
2011,8
2012,5
