year,Allegra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,13
1912,7
1913,14
1914,10
1915,29
1916,26
1917,25
1918,24
1919,23
1920,25
1921,16
1922,16
1923,20
1924,13
1925,17
1926,23
1927,18
1928,15
1929,11
1930,15
1931,15
1932,8
1933,14
1934,16
1935,12
1936,9
1937,10
1938,10
1939,9
1940,8
1941,13
1942,12
1943,13
1944,7
1945,9
1946,13
1947,8
1948,9
1949,9
1950,15
1951,7
1952,9
1953,14
1954,6
1955,9
1956,16
1957,13
1958,7
1959,13
1960,14
1961,16
1962,17
1963,21
1964,13
1965,16
1966,17
1967,18
1968,29
1969,28
1970,41
1971,36
1972,34
1973,50
1974,33
1975,44
1976,54
1977,44
1978,36
1979,46
1980,55
1981,51
1982,37
1983,44
1984,51
1985,58
1986,48
1987,64
1988,153
1989,112
1990,106
1991,101
1992,122
1993,113
1994,94
1995,144
1996,129
1997,152
1998,141
1999,94
2000,70
2001,51
2002,33
2003,38
2004,26
2005,48
2006,63
2007,84
2008,91
2009,101
2010,115
2011,76
2012,57
