year,Audra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,9
1888,8
1889,5
1890,11
1891,11
1892,20
1893,11
1894,22
1895,21
1896,24
1897,15
1898,20
1899,25
1900,25
1901,23
1902,26
1903,30
1904,33
1905,22
1906,29
1907,45
1908,36
1909,52
1910,43
1911,50
1912,80
1913,77
1914,61
1915,106
1916,134
1917,112
1918,128
1919,91
1920,117
1921,120
1922,107
1923,101
1924,84
1925,96
1926,88
1927,77
1928,83
1929,64
1930,85
1931,66
1932,60
1933,62
1934,65
1935,59
1936,50
1937,48
1938,52
1939,34
1940,31
1941,36
1942,34
1943,36
1944,21
1945,26
1946,20
1947,33
1948,33
1949,36
1950,18
1951,32
1952,29
1953,15
1954,31
1955,22
1956,24
1957,19
1958,17
1959,23
1960,22
1961,19
1962,31
1963,19
1964,15
1965,90
1966,891
1967,1157
1968,997
1969,850
1970,860
1971,916
1972,690
1973,593
1974,560
1975,515
1976,496
1977,469
1978,494
1979,591
1980,514
1981,577
1982,659
1983,624
1984,530
1985,480
1986,434
1987,446
1988,416
1989,378
1990,320
1991,344
1992,300
1993,273
1994,276
1995,231
1996,220
1997,210
1998,207
1999,214
2000,211
2001,218
2002,178
2003,201
2004,199
2005,187
2006,175
2007,192
2008,191
2009,169
2010,163
2011,173
2012,183
