year,Azalia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,6
1906,0
1907,5
1908,0
1909,6
1910,0
1911,5
1912,7
1913,5
1914,11
1915,6
1916,0
1917,10
1918,5
1919,5
1920,10
1921,10
1922,5
1923,11
1924,10
1925,0
1926,0
1927,6
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,6
1936,0
1937,6
1938,6
1939,6
1940,5
1941,0
1942,0
1943,6
1944,0
1945,0
1946,0
1947,5
1948,0
1949,8
1950,15
1951,15
1952,20
1953,14
1954,10
1955,7
1956,13
1957,11
1958,0
1959,6
1960,7
1961,6
1962,6
1963,0
1964,0
1965,0
1966,5
1967,7
1968,7
1969,7
1970,10
1971,8
1972,11
1973,10
1974,9
1975,21
1976,5
1977,20
1978,16
1979,12
1980,16
1981,13
1982,21
1983,16
1984,16
1985,12
1986,17
1987,24
1988,15
1989,25
1990,16
1991,21
1992,8
1993,11
1994,20
1995,15
1996,21
1997,31
1998,21
1999,34
2000,27
2001,31
2002,38
2003,49
2004,35
2005,57
2006,45
2007,52
2008,40
2009,49
2010,62
2011,60
2012,49
