year,Algie
1880,7
1881,0
1882,0
1883,6
1884,6
1885,6
1886,6
1887,0
1888,5
1889,8
1890,0
1891,6
1892,5
1893,0
1894,10
1895,10
1896,8
1897,0
1898,5
1899,9
1900,11
1901,8
1902,6
1903,0
1904,5
1905,16
1906,8
1907,15
1908,12
1909,12
1910,12
1911,22
1912,34
1913,25
1914,31
1915,38
1916,35
1917,32
1918,41
1919,50
1920,44
1921,50
1922,37
1923,31
1924,39
1925,47
1926,34
1927,43
1928,31
1929,34
1930,37
1931,26
1932,37
1933,36
1934,21
1935,31
1936,26
1937,23
1938,25
1939,16
1940,22
1941,22
1942,29
1943,23
1944,24
1945,29
1946,23
1947,27
1948,23
1949,26
1950,25
1951,28
1952,21
1953,20
1954,13
1955,25
1956,23
1957,15
1958,20
1959,15
1960,12
1961,12
1962,11
1963,12
1964,18
1965,7
1966,5
1967,12
1968,15
1969,8
1970,13
1971,11
1972,6
1973,13
1974,11
1975,9
1976,7
1977,7
1978,0
1979,7
1980,9
1981,10
1982,7
1983,0
1984,7
1985,8
1986,6
1987,0
1988,0
1989,6
1990,5
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
