year,Amber
1880,9
1881,5
1882,0
1883,0
1884,6
1885,0
1886,0
1887,9
1888,9
1889,8
1890,10
1891,10
1892,10
1893,15
1894,12
1895,16
1896,17
1897,15
1898,15
1899,11
1900,15
1901,13
1902,9
1903,7
1904,29
1905,18
1906,16
1907,24
1908,20
1909,19
1910,28
1911,14
1912,19
1913,35
1914,38
1915,39
1916,52
1917,40
1918,29
1919,33
1920,28
1921,38
1922,34
1923,24
1924,28
1925,34
1926,30
1927,26
1928,37
1929,25
1930,21
1931,23
1932,15
1933,11
1934,28
1935,20
1936,22
1937,12
1938,21
1939,19
1940,20
1941,20
1942,19
1943,22
1944,25
1945,65
1946,98
1947,87
1948,89
1949,93
1950,87
1951,97
1952,108
1953,99
1954,107
1955,129
1956,122
1957,137
1958,163
1959,208
1960,282
1961,340
1962,376
1963,402
1964,479
1965,526
1966,529
1967,628
1968,886
1969,1027
1970,1290
1971,1728
1972,1825
1973,2188
1974,3287
1975,4699
1976,5661
1977,7232
1978,8205
1979,11106
1980,12599
1981,13866
1982,14722
1983,14932
1984,15415
1985,15551
1986,17002
1987,16803
1988,16738
1989,16820
1990,15906
1991,15022
1992,13938
1993,14090
1994,12364
1995,10983
1996,9789
1997,8928
1998,7939
1999,6849
2000,6192
2001,5578
2002,4728
2003,4126
2004,3656
2005,3147
2006,2592
2007,2402
2008,2058
2009,1773
2010,1407
2011,1231
2012,1227
