year,Aime
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,0
1909,0
1910,5
1911,0
1912,12
1913,9
1914,17
1915,18
1916,15
1917,22
1918,15
1919,22
1920,15
1921,17
1922,22
1923,15
1924,15
1925,18
1926,15
1927,19
1928,9
1929,20
1930,13
1931,11
1932,11
1933,9
1934,11
1935,9
1936,11
1937,0
1938,8
1939,8
1940,0
1941,11
1942,5
1943,7
1944,0
1945,0
1946,8
1947,0
1948,7
1949,8
1950,0
1951,0
1952,0
1953,7
1954,0
1955,0
1956,0
1957,7
1958,5
1959,0
1960,0
1961,7
1962,0
1963,0
1964,0
1965,6
1966,6
1967,12
1968,12
1969,11
1970,19
1971,14
1972,21
1973,23
1974,20
1975,32
1976,37
1977,46
1978,57
1979,40
1980,29
1981,37
1982,36
1983,27
1984,28
1985,17
1986,33
1987,25
1988,15
1989,19
1990,17
1991,20
1992,18
1993,36
1994,123
1995,78
1996,62
1997,50
1998,33
1999,29
2000,29
2001,37
2002,28
2003,27
2004,42
2005,19
2006,29
2007,28
2008,32
2009,25
2010,118
2011,42
2012,41
