year,Arnett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,5
1897,11
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,5
1910,5
1911,0
1912,16
1913,16
1914,19
1915,22
1916,15
1917,33
1918,25
1919,26
1920,21
1921,27
1922,17
1923,15
1924,22
1925,24
1926,23
1927,22
1928,12
1929,25
1930,13
1931,16
1932,12
1933,23
1934,21
1935,17
1936,20
1937,18
1938,14
1939,22
1940,18
1941,26
1942,15
1943,20
1944,20
1945,10
1946,17
1947,21
1948,24
1949,22
1950,23
1951,34
1952,24
1953,16
1954,19
1955,27
1956,27
1957,23
1958,24
1959,33
1960,13
1961,11
1962,19
1963,19
1964,16
1965,16
1966,15
1967,5
1968,19
1969,8
1970,9
1971,9
1972,9
1973,10
1974,7
1975,13
1976,9
1977,12
1978,9
1979,11
1980,14
1981,7
1982,0
1983,7
1984,0
1985,0
1986,0
1987,8
1988,10
1989,6
1990,6
1991,0
1992,6
1993,0
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,7
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
