year,Ama
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,5
1894,7
1895,5
1896,0
1897,0
1898,0
1899,5
1900,0
1901,7
1902,0
1903,0
1904,6
1905,5
1906,0
1907,5
1908,0
1909,0
1910,5
1911,5
1912,8
1913,0
1914,7
1915,10
1916,14
1917,11
1918,14
1919,12
1920,13
1921,11
1922,13
1923,5
1924,12
1925,11
1926,7
1927,9
1928,9
1929,12
1930,11
1931,10
1932,6
1933,5
1934,0
1935,5
1936,0
1937,5
1938,7
1939,5
1940,5
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,6
1969,0
1970,5
1971,6
1972,13
1973,11
1974,12
1975,9
1976,7
1977,12
1978,10
1979,11
1980,19
1981,7
1982,0
1983,13
1984,11
1985,6
1986,12
1987,5
1988,9
1989,6
1990,13
1991,7
1992,17
1993,11
1994,13
1995,7
1996,14
1997,17
1998,13
1999,16
2000,15
2001,13
2002,11
2003,16
2004,11
2005,22
2006,15
2007,14
2008,16
2009,12
2010,11
2011,10
2012,17
