year,Alba
1880,6
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,7
1889,10
1890,0
1891,6
1892,7
1893,5
1894,10
1895,11
1896,10
1897,6
1898,6
1899,0
1900,8
1901,0
1902,0
1903,0
1904,13
1905,10
1906,17
1907,11
1908,14
1909,11
1910,22
1911,17
1912,37
1913,47
1914,51
1915,86
1916,51
1917,67
1918,60
1919,60
1920,53
1921,51
1922,62
1923,70
1924,50
1925,60
1926,54
1927,48
1928,47
1929,33
1930,59
1931,43
1932,34
1933,32
1934,33
1935,23
1936,16
1937,26
1938,24
1939,23
1940,25
1941,14
1942,18
1943,16
1944,14
1945,11
1946,9
1947,18
1948,23
1949,16
1950,29
1951,34
1952,35
1953,31
1954,39
1955,34
1956,29
1957,27
1958,34
1959,32
1960,30
1961,22
1962,24
1963,38
1964,40
1965,24
1966,23
1967,29
1968,40
1969,33
1970,25
1971,32
1972,34
1973,28
1974,40
1975,40
1976,36
1977,50
1978,35
1979,36
1980,60
1981,106
1982,79
1983,61
1984,81
1985,63
1986,65
1987,74
1988,116
1989,138
1990,112
1991,86
1992,93
1993,97
1994,77
1995,75
1996,79
1997,77
1998,59
1999,54
2000,80
2001,75
2002,67
2003,54
2004,63
2005,63
2006,85
2007,77
2008,84
2009,70
2010,115
2011,124
2012,133
