year,Arvel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,8
1895,6
1896,0
1897,0
1898,6
1899,0
1900,8
1901,0
1902,11
1903,5
1904,0
1905,9
1906,11
1907,7
1908,8
1909,7
1910,12
1911,13
1912,25
1913,35
1914,51
1915,54
1916,55
1917,66
1918,71
1919,51
1920,65
1921,77
1922,73
1923,65
1924,45
1925,59
1926,49
1927,53
1928,49
1929,55
1930,42
1931,47
1932,45
1933,37
1934,40
1935,38
1936,35
1937,34
1938,37
1939,45
1940,39
1941,28
1942,32
1943,31
1944,27
1945,36
1946,21
1947,30
1948,22
1949,25
1950,19
1951,13
1952,19
1953,13
1954,22
1955,23
1956,13
1957,11
1958,9
1959,16
1960,17
1961,23
1962,12
1963,7
1964,12
1965,8
1966,10
1967,11
1968,9
1969,18
1970,11
1971,14
1972,8
1973,9
1974,5
1975,10
1976,8
1977,9
1978,10
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,7
1988,0
1989,0
1990,6
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
