year,Adena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,8
1914,5
1915,0
1916,11
1917,6
1918,9
1919,7
1920,0
1921,11
1922,7
1923,9
1924,5
1925,6
1926,10
1927,8
1928,0
1929,7
1930,8
1931,8
1932,0
1933,5
1934,0
1935,5
1936,5
1937,8
1938,0
1939,0
1940,0
1941,7
1942,11
1943,8
1944,0
1945,10
1946,10
1947,15
1948,5
1949,9
1950,0
1951,13
1952,8
1953,8
1954,12
1955,15
1956,13
1957,10
1958,8
1959,20
1960,10
1961,15
1962,16
1963,14
1964,12
1965,12
1966,17
1967,19
1968,36
1969,31
1970,30
1971,42
1972,33
1973,30
1974,31
1975,43
1976,27
1977,20
1978,34
1979,32
1980,31
1981,37
1982,39
1983,36
1984,33
1985,31
1986,20
1987,25
1988,31
1989,25
1990,17
1991,18
1992,24
1993,18
1994,16
1995,34
1996,30
1997,26
1998,15
1999,25
2000,22
2001,19
2002,21
2003,23
2004,19
2005,23
2006,20
2007,14
2008,26
2009,15
2010,10
2011,13
2012,14
