year,Arletha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,9
1904,0
1905,0
1906,0
1907,5
1908,5
1909,0
1910,7
1911,6
1912,11
1913,9
1914,14
1915,10
1916,8
1917,14
1918,29
1919,17
1920,28
1921,23
1922,18
1923,19
1924,23
1925,22
1926,25
1927,30
1928,23
1929,29
1930,25
1931,23
1932,25
1933,22
1934,17
1935,26
1936,23
1937,21
1938,11
1939,20
1940,16
1941,11
1942,16
1943,20
1944,19
1945,19
1946,22
1947,25
1948,26
1949,25
1950,27
1951,24
1952,28
1953,26
1954,22
1955,29
1956,30
1957,28
1958,36
1959,38
1960,29
1961,36
1962,33
1963,41
1964,37
1965,27
1966,36
1967,27
1968,29
1969,23
1970,20
1971,28
1972,23
1973,15
1974,17
1975,14
1976,8
1977,12
1978,10
1979,13
1980,16
1981,8
1982,11
1983,0
1984,9
1985,9
1986,8
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
