year,Adele
1880,41
1881,43
1882,64
1883,68
1884,71
1885,71
1886,79
1887,80
1888,116
1889,115
1890,133
1891,113
1892,123
1893,144
1894,151
1895,166
1896,152
1897,187
1898,165
1899,164
1900,186
1901,157
1902,172
1903,164
1904,163
1905,200
1906,199
1907,191
1908,197
1909,257
1910,288
1911,298
1912,418
1913,492
1914,709
1915,897
1916,902
1917,960
1918,1036
1919,886
1920,944
1921,890
1922,901
1923,788
1924,812
1925,738
1926,683
1927,713
1928,636
1929,554
1930,559
1931,499
1932,487
1933,362
1934,396
1935,365
1936,359
1937,371
1938,370
1939,309
1940,322
1941,313
1942,355
1943,366
1944,332
1945,330
1946,398
1947,435
1948,470
1949,440
1950,433
1951,433
1952,477
1953,445
1954,422
1955,382
1956,362
1957,315
1958,293
1959,300
1960,271
1961,275
1962,241
1963,204
1964,190
1965,186
1966,165
1967,116
1968,110
1969,131
1970,104
1971,108
1972,98
1973,104
1974,102
1975,103
1976,97
1977,112
1978,76
1979,99
1980,89
1981,96
1982,87
1983,100
1984,87
1985,74
1986,74
1987,82
1988,80
1989,76
1990,91
1991,88
1992,72
1993,84
1994,91
1995,91
1996,79
1997,91
1998,83
1999,98
2000,94
2001,102
2002,90
2003,116
2004,112
2005,116
2006,110
2007,147
2008,156
2009,235
2010,286
2011,461
2012,564
