year,Artis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,9
1901,6
1902,5
1903,14
1904,6
1905,10
1906,7
1907,16
1908,21
1909,12
1910,20
1911,13
1912,38
1913,42
1914,61
1915,61
1916,62
1917,55
1918,72
1919,72
1920,71
1921,77
1922,95
1923,60
1924,75
1925,82
1926,73
1927,72
1928,83
1929,79
1930,69
1931,72
1932,82
1933,84
1934,74
1935,77
1936,71
1937,99
1938,71
1939,86
1940,81
1941,77
1942,93
1943,80
1944,79
1945,71
1946,98
1947,99
1948,111
1949,106
1950,122
1951,121
1952,112
1953,109
1954,97
1955,96
1956,83
1957,112
1958,101
1959,92
1960,90
1961,79
1962,77
1963,63
1964,64
1965,56
1966,58
1967,55
1968,77
1969,36
1970,57
1971,69
1972,57
1973,45
1974,44
1975,46
1976,43
1977,47
1978,49
1979,42
1980,42
1981,47
1982,52
1983,44
1984,45
1985,32
1986,31
1987,27
1988,22
1989,53
1990,31
1991,33
1992,22
1993,29
1994,28
1995,25
1996,10
1997,19
1998,28
1999,16
2000,21
2001,19
2002,18
2003,19
2004,10
2005,16
2006,13
2007,14
2008,18
2009,20
2010,9
2011,11
2012,12
