year,Aimee
1880,13
1881,11
1882,13
1883,11
1884,15
1885,17
1886,17
1887,18
1888,12
1889,16
1890,18
1891,14
1892,15
1893,17
1894,13
1895,13
1896,23
1897,18
1898,16
1899,21
1900,16
1901,17
1902,14
1903,12
1904,9
1905,16
1906,13
1907,13
1908,16
1909,17
1910,17
1911,9
1912,16
1913,21
1914,33
1915,30
1916,32
1917,29
1918,43
1919,29
1920,35
1921,33
1922,44
1923,34
1924,32
1925,29
1926,35
1927,31
1928,21
1929,22
1930,18
1931,17
1932,16
1933,9
1934,22
1935,17
1936,10
1937,13
1938,9
1939,10
1940,8
1941,16
1942,20
1943,18
1944,28
1945,14
1946,18
1947,32
1948,25
1949,44
1950,49
1951,32
1952,67
1953,99
1954,104
1955,105
1956,96
1957,140
1958,139
1959,145
1960,162
1961,178
1962,164
1963,202
1964,252
1965,293
1966,367
1967,581
1968,639
1969,971
1970,1376
1971,1737
1972,1882
1973,2290
1974,1863
1975,2031
1976,2253
1977,2293
1978,1905
1979,1813
1980,1596
1981,1512
1982,1450
1983,1488
1984,1243
1985,1282
1986,1319
1987,1228
1988,1095
1989,1012
1990,1019
1991,945
1992,881
1993,879
1994,923
1995,806
1996,675
1997,639
1998,540
1999,523
2000,468
2001,449
2002,469
2003,480
2004,414
2005,403
2006,358
2007,343
2008,375
2009,343
2010,474
2011,411
2012,314
