year,Axel
1880,16
1881,14
1882,12
1883,12
1884,16
1885,16
1886,25
1887,18
1888,16
1889,18
1890,16
1891,17
1892,13
1893,23
1894,10
1895,20
1896,15
1897,17
1898,20
1899,14
1900,11
1901,6
1902,8
1903,10
1904,6
1905,8
1906,12
1907,11
1908,6
1909,8
1910,12
1911,11
1912,27
1913,21
1914,25
1915,49
1916,49
1917,36
1918,40
1919,21
1920,27
1921,41
1922,23
1923,24
1924,22
1925,33
1926,13
1927,23
1928,6
1929,20
1930,15
1931,8
1932,10
1933,0
1934,8
1935,15
1936,11
1937,8
1938,6
1939,8
1940,5
1941,9
1942,9
1943,12
1944,8
1945,8
1946,7
1947,9
1948,5
1949,9
1950,14
1951,7
1952,11
1953,0
1954,0
1955,6
1956,9
1957,0
1958,19
1959,19
1960,13
1961,18
1962,15
1963,12
1964,15
1965,15
1966,14
1967,13
1968,23
1969,30
1970,32
1971,19
1972,16
1973,20
1974,18
1975,17
1976,26
1977,24
1978,20
1979,29
1980,26
1981,25
1982,25
1983,29
1984,37
1985,36
1986,56
1987,49
1988,47
1989,114
1990,131
1991,151
1992,135
1993,124
1994,133
1995,145
1996,161
1997,170
1998,192
1999,190
2000,731
2001,1276
2002,919
2003,806
2004,943
2005,1055
2006,1132
2007,1206
2008,1263
2009,1329
2010,1977
2011,3044
2012,2474
