year,Asher
1880,6
1881,6
1882,0
1883,0
1884,0
1885,6
1886,7
1887,6
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,7
1914,12
1915,17
1916,16
1917,15
1918,15
1919,21
1920,16
1921,17
1922,24
1923,14
1924,16
1925,15
1926,15
1927,16
1928,9
1929,10
1930,6
1931,7
1932,18
1933,10
1934,14
1935,11
1936,15
1937,12
1938,11
1939,10
1940,13
1941,6
1942,10
1943,14
1944,13
1945,10
1946,7
1947,7
1948,9
1949,14
1950,7
1951,12
1952,8
1953,11
1954,11
1955,5
1956,11
1957,10
1958,9
1959,16
1960,12
1961,11
1962,9
1963,8
1964,15
1965,7
1966,14
1967,17
1968,16
1969,12
1970,17
1971,13
1972,20
1973,27
1974,24
1975,43
1976,34
1977,41
1978,46
1979,56
1980,66
1981,80
1982,75
1983,95
1984,80
1985,94
1986,90
1987,88
1988,72
1989,78
1990,103
1991,110
1992,125
1993,135
1994,159
1995,155
1996,200
1997,222
1998,257
1999,326
2000,361
2001,424
2002,488
2003,640
2004,915
2005,1171
2006,1385
2007,1606
2008,1928
2009,2374
2010,2882
2011,3440
2012,3587
