year,Allyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,5
1911,5
1912,8
1913,12
1914,19
1915,9
1916,27
1917,24
1918,42
1919,25
1920,24
1921,27
1922,26
1923,34
1924,47
1925,36
1926,27
1927,33
1928,31
1929,27
1930,47
1931,62
1932,41
1933,41
1934,39
1935,45
1936,43
1937,52
1938,46
1939,53
1940,51
1941,60
1942,76
1943,68
1944,71
1945,55
1946,98
1947,87
1948,67
1949,78
1950,113
1951,152
1952,110
1953,98
1954,93
1955,98
1956,72
1957,62
1958,56
1959,58
1960,67
1961,76
1962,79
1963,66
1964,64
1965,58
1966,60
1967,53
1968,41
1969,47
1970,32
1971,47
1972,37
1973,31
1974,29
1975,29
1976,16
1977,44
1978,42
1979,27
1980,43
1981,55
1982,49
1983,47
1984,40
1985,58
1986,44
1987,50
1988,68
1989,53
1990,69
1991,56
1992,65
1993,56
1994,40
1995,37
1996,29
1997,38
1998,47
1999,45
2000,32
2001,43
2002,27
2003,23
2004,34
2005,32
2006,36
2007,30
2008,24
2009,30
2010,23
2011,27
2012,35
