year,Antonia
1880,18
1881,13
1882,28
1883,18
1884,30
1885,33
1886,31
1887,26
1888,44
1889,35
1890,37
1891,36
1892,41
1893,41
1894,55
1895,53
1896,52
1897,35
1898,53
1899,53
1900,52
1901,58
1902,43
1903,57
1904,61
1905,67
1906,57
1907,72
1908,74
1909,69
1910,73
1911,109
1912,146
1913,171
1914,210
1915,240
1916,254
1917,276
1918,298
1919,258
1920,312
1921,346
1922,285
1923,310
1924,342
1925,286
1926,338
1927,348
1928,314
1929,297
1930,266
1931,240
1932,238
1933,248
1934,224
1935,213
1936,224
1937,222
1938,196
1939,210
1940,199
1941,240
1942,267
1943,242
1944,265
1945,261
1946,286
1947,293
1948,363
1949,330
1950,318
1951,337
1952,375
1953,328
1954,366
1955,343
1956,338
1957,288
1958,330
1959,314
1960,285
1961,309
1962,288
1963,293
1964,309
1965,320
1966,301
1967,270
1968,283
1969,348
1970,376
1971,372
1972,371
1973,376
1974,417
1975,352
1976,390
1977,353
1978,365
1979,356
1980,407
1981,422
1982,376
1983,393
1984,383
1985,402
1986,402
1987,402
1988,403
1989,348
1990,372
1991,338
1992,373
1993,328
1994,335
1995,453
1996,678
1997,529
1998,471
1999,441
2000,423
2001,421
2002,408
2003,356
2004,337
2005,315
2006,266
2007,278
2008,254
2009,205
2010,206
2011,239
2012,228
