year,Angelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,11
1916,19
1917,14
1918,13
1919,17
1920,14
1921,18
1922,10
1923,29
1924,14
1925,21
1926,20
1927,16
1928,14
1929,15
1930,18
1931,10
1932,10
1933,17
1934,9
1935,6
1936,14
1937,25
1938,17
1939,14
1940,8
1941,20
1942,13
1943,11
1944,12
1945,10
1946,19
1947,10
1948,16
1949,12
1950,12
1951,18
1952,23
1953,25
1954,19
1955,15
1956,26
1957,6
1958,18
1959,17
1960,14
1961,15
1962,12
1963,28
1964,14
1965,23
1966,14
1967,22
1968,21
1969,30
1970,32
1971,39
1972,43
1973,17
1974,23
1975,52
1976,24
1977,23
1978,20
1979,34
1980,27
1981,32
1982,33
1983,25
1984,19
1985,17
1986,16
1987,15
1988,20
1989,17
1990,22
1991,16
1992,14
1993,16
1994,21
1995,6
1996,12
1997,10
1998,18
1999,11
2000,17
2001,27
2002,26
2003,20
2004,29
2005,20
2006,23
2007,23
2008,27
2009,22
2010,11
2011,14
2012,15
