year,Adair
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,6
1916,15
1917,20
1918,16
1919,16
1920,7
1921,18
1922,5
1923,18
1924,20
1925,13
1926,8
1927,16
1928,16
1929,0
1930,7
1931,6
1932,11
1933,10
1934,11
1935,0
1936,14
1937,12
1938,10
1939,11
1940,5
1941,6
1942,11
1943,0
1944,14
1945,7
1946,12
1947,11
1948,17
1949,14
1950,16
1951,25
1952,15
1953,18
1954,12
1955,14
1956,13
1957,19
1958,10
1959,9
1960,10
1961,15
1962,23
1963,19
1964,16
1965,12
1966,15
1967,5
1968,7
1969,15
1970,10
1971,5
1972,10
1973,7
1974,5
1975,5
1976,15
1977,5
1978,18
1979,7
1980,9
1981,17
1982,18
1983,14
1984,20
1985,27
1986,27
1987,23
1988,18
1989,28
1990,26
1991,15
1992,28
1993,27
1994,21
1995,42
1996,29
1997,24
1998,39
1999,46
2000,43
2001,40
2002,53
2003,79
2004,93
2005,88
2006,93
2007,120
2008,81
2009,113
2010,89
2011,114
2012,89
