year,Alexandria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,7
1905,10
1906,0
1907,7
1908,6
1909,13
1910,16
1911,12
1912,17
1913,25
1914,31
1915,33
1916,38
1917,37
1918,43
1919,44
1920,37
1921,39
1922,31
1923,44
1924,34
1925,33
1926,38
1927,27
1928,32
1929,26
1930,27
1931,12
1932,14
1933,14
1934,11
1935,19
1936,18
1937,23
1938,19
1939,25
1940,22
1941,29
1942,34
1943,29
1944,25
1945,37
1946,29
1947,33
1948,50
1949,37
1950,31
1951,46
1952,32
1953,39
1954,46
1955,33
1956,63
1957,39
1958,46
1959,37
1960,50
1961,52
1962,53
1963,69
1964,51
1965,69
1966,82
1967,88
1968,86
1969,125
1970,135
1971,148
1972,137
1973,130
1974,157
1975,147
1976,146
1977,144
1978,194
1979,187
1980,242
1981,555
1982,599
1983,550
1984,856
1985,861
1986,1131
1987,1568
1988,2285
1989,3085
1990,3608
1991,4478
1992,4818
1993,5040
1994,4851
1995,4781
1996,4562
1997,4233
1998,4014
1999,3794
2000,3555
2001,3409
2002,3144
2003,2758
2004,2659
2005,2455
2006,2332
2007,2196
2008,1790
2009,1637
2010,1506
2011,1520
2012,1514
