year,Arlee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,9
1909,9
1910,0
1911,9
1912,6
1913,10
1914,12
1915,35
1916,27
1917,18
1918,32
1919,25
1920,37
1921,37
1922,41
1923,36
1924,28
1925,30
1926,28
1927,32
1928,32
1929,23
1930,28
1931,25
1932,20
1933,18
1934,19
1935,12
1936,23
1937,18
1938,21
1939,17
1940,18
1941,15
1942,22
1943,17
1944,7
1945,11
1946,14
1947,16
1948,16
1949,14
1950,9
1951,6
1952,11
1953,8
1954,14
1955,5
1956,11
1957,6
1958,11
1959,8
1960,0
1961,0
1962,11
1963,5
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,13
1971,0
1972,5
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,8
1982,16
1983,18
1984,10
1985,8
1986,6
1987,0
1988,0
1989,0
1990,8
1991,0
1992,0
1993,8
1994,5
1995,0
1996,11
1997,0
1998,0
1999,6
2000,5
2001,16
2002,11
2003,12
2004,11
2005,7
2006,9
2007,15
2008,8
2009,11
2010,12
2011,19
2012,22
