year,Adrain
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,10
1913,0
1914,11
1915,19
1916,12
1917,15
1918,26
1919,22
1920,28
1921,27
1922,20
1923,50
1924,40
1925,39
1926,20
1927,25
1928,20
1929,13
1930,18
1931,14
1932,14
1933,12
1934,18
1935,26
1936,17
1937,11
1938,15
1939,17
1940,27
1941,16
1942,13
1943,10
1944,13
1945,15
1946,17
1947,10
1948,8
1949,14
1950,18
1951,19
1952,28
1953,20
1954,33
1955,32
1956,38
1957,41
1958,38
1959,38
1960,44
1961,46
1962,53
1963,48
1964,81
1965,47
1966,45
1967,54
1968,70
1969,64
1970,98
1971,83
1972,112
1973,95
1974,97
1975,109
1976,108
1977,113
1978,125
1979,126
1980,118
1981,105
1982,98
1983,104
1984,107
1985,94
1986,104
1987,109
1988,81
1989,119
1990,89
1991,71
1992,66
1993,54
1994,42
1995,56
1996,47
1997,43
1998,35
1999,37
2000,44
2001,36
2002,28
2003,31
2004,25
2005,36
2006,37
2007,36
2008,27
2009,26
2010,32
2011,25
2012,28
