year,Apolonia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,0
1894,7
1895,0
1896,5
1897,0
1898,6
1899,0
1900,0
1901,5
1902,0
1903,0
1904,9
1905,9
1906,0
1907,0
1908,10
1909,12
1910,13
1911,10
1912,10
1913,12
1914,14
1915,16
1916,14
1917,13
1918,23
1919,12
1920,13
1921,13
1922,8
1923,17
1924,20
1925,23
1926,24
1927,12
1928,15
1929,20
1930,24
1931,11
1932,12
1933,10
1934,9
1935,13
1936,9
1937,9
1938,13
1939,12
1940,12
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,5
1949,5
1950,0
1951,0
1952,5
1953,6
1954,8
1955,6
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,6
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,5
1980,6
1981,0
1982,0
1983,0
1984,7
1985,16
1986,18
1987,23
1988,23
1989,18
1990,25
1991,21
1992,14
1993,12
1994,14
1995,9
1996,7
1997,11
1998,12
1999,9
2000,5
2001,5
2002,8
2003,10
2004,0
2005,15
2006,7
2007,8
2008,9
2009,11
2010,15
2011,8
2012,10
