year,Ava
1880,13
1881,18
1882,21
1883,29
1884,32
1885,18
1886,27
1887,36
1888,41
1889,44
1890,49
1891,41
1892,54
1893,46
1894,58
1895,54
1896,38
1897,42
1898,53
1899,44
1900,65
1901,46
1902,40
1903,55
1904,50
1905,53
1906,62
1907,55
1908,58
1909,49
1910,79
1911,86
1912,98
1913,112
1914,156
1915,171
1916,186
1917,180
1918,174
1919,159
1920,184
1921,177
1922,160
1923,173
1924,157
1925,164
1926,163
1927,147
1928,140
1929,135
1930,142
1931,136
1932,145
1933,119
1934,129
1935,109
1936,113
1937,114
1938,83
1939,90
1940,77
1941,90
1942,132
1943,109
1944,91
1945,80
1946,131
1947,199
1948,198
1949,241
1950,297
1951,385
1952,386
1953,464
1954,539
1955,507
1956,508
1957,434
1958,379
1959,336
1960,327
1961,263
1962,262
1963,273
1964,265
1965,227
1966,199
1967,175
1968,178
1969,173
1970,177
1971,161
1972,153
1973,109
1974,130
1975,125
1976,97
1977,105
1978,132
1979,135
1980,112
1981,122
1982,109
1983,107
1984,146
1985,133
1986,166
1987,173
1988,167
1989,173
1990,197
1991,236
1992,239
1993,281
1994,276
1995,279
1996,285
1997,362
1998,829
1999,1215
2000,1795
2001,2544
2002,3749
2003,6288
2004,8678
2005,13630
2006,16959
2007,18049
2008,17040
2009,15880
2010,15424
2011,15488
2012,15514
