year,Anastasia
1880,10
1881,11
1882,11
1883,14
1884,17
1885,15
1886,23
1887,22
1888,20
1889,21
1890,28
1891,34
1892,25
1893,27
1894,53
1895,24
1896,36
1897,32
1898,32
1899,23
1900,33
1901,38
1902,24
1903,30
1904,41
1905,32
1906,48
1907,37
1908,34
1909,33
1910,47
1911,59
1912,61
1913,72
1914,125
1915,114
1916,126
1917,131
1918,157
1919,143
1920,122
1921,142
1922,133
1923,108
1924,97
1925,105
1926,81
1927,91
1928,78
1929,65
1930,64
1931,49
1932,53
1933,46
1934,60
1935,40
1936,41
1937,48
1938,37
1939,28
1940,36
1941,50
1942,43
1943,47
1944,23
1945,30
1946,45
1947,43
1948,43
1949,31
1950,39
1951,30
1952,34
1953,41
1954,41
1955,37
1956,42
1957,111
1958,86
1959,119
1960,115
1961,110
1962,111
1963,124
1964,142
1965,149
1966,153
1967,186
1968,219
1969,206
1970,235
1971,236
1972,211
1973,231
1974,225
1975,253
1976,238
1977,260
1978,231
1979,258
1980,225
1981,281
1982,288
1983,381
1984,392
1985,386
1986,431
1987,908
1988,789
1989,761
1990,693
1991,706
1992,741
1993,778
1994,833
1995,758
1996,858
1997,947
1998,1176
1999,1005
2000,1027
2001,1028
2002,1192
2003,1173
2004,1152
2005,1129
2006,1146
2007,1072
2008,911
2009,1010
2010,873
2011,860
2012,929
