year,Agnes
1880,473
1881,424
1882,565
1883,623
1884,703
1885,695
1886,779
1887,901
1888,1046
1889,1033
1890,1095
1891,1125
1892,1333
1893,1399
1894,1477
1895,1466
1896,1661
1897,1585
1898,1708
1899,1619
1900,1922
1901,1534
1902,1681
1903,1622
1904,1672
1905,1729
1906,1767
1907,1842
1908,1941
1909,1985
1910,2175
1911,2315
1912,2960
1913,3217
1914,3735
1915,4803
1916,4861
1917,5078
1918,5302
1919,4908
1920,4919
1921,4818
1922,4486
1923,4234
1924,4254
1925,3927
1926,3549
1927,3354
1928,3033
1929,2782
1930,2521
1931,2312
1932,2125
1933,1889
1934,1941
1935,1588
1936,1609
1937,1427
1938,1395
1939,1303
1940,1201
1941,1092
1942,1142
1943,1054
1944,962
1945,824
1946,868
1947,839
1948,832
1949,731
1950,748
1951,653
1952,628
1953,642
1954,523
1955,562
1956,509
1957,494
1958,418
1959,425
1960,429
1961,396
1962,353
1963,319
1964,278
1965,259
1966,202
1967,193
1968,154
1969,129
1970,120
1971,132
1972,121
1973,94
1974,94
1975,86
1976,65
1977,63
1978,65
1979,71
1980,77
1981,93
1982,69
1983,81
1984,62
1985,67
1986,69
1987,70
1988,76
1989,79
1990,76
1991,67
1992,69
1993,54
1994,58
1995,61
1996,64
1997,47
1998,64
1999,63
2000,68
2001,60
2002,53
2003,62
2004,57
2005,59
2006,68
2007,65
2008,61
2009,81
2010,66
2011,96
2012,121
