year,Aida
1880,0
1881,6
1882,0
1883,5
1884,0
1885,0
1886,5
1887,5
1888,8
1889,6
1890,9
1891,8
1892,8
1893,6
1894,7
1895,14
1896,7
1897,16
1898,14
1899,7
1900,9
1901,0
1902,13
1903,13
1904,5
1905,14
1906,16
1907,17
1908,14
1909,20
1910,13
1911,27
1912,30
1913,37
1914,50
1915,54
1916,43
1917,49
1918,63
1919,56
1920,45
1921,81
1922,58
1923,60
1924,70
1925,70
1926,63
1927,62
1928,62
1929,60
1930,67
1931,50
1932,56
1933,52
1934,41
1935,53
1936,63
1937,39
1938,46
1939,44
1940,32
1941,44
1942,65
1943,47
1944,38
1945,59
1946,62
1947,77
1948,71
1949,113
1950,107
1951,105
1952,130
1953,128
1954,194
1955,171
1956,163
1957,189
1958,157
1959,183
1960,165
1961,179
1962,164
1963,181
1964,173
1965,178
1966,181
1967,181
1968,176
1969,171
1970,180
1971,192
1972,154
1973,175
1974,146
1975,160
1976,152
1977,127
1978,115
1979,124
1980,135
1981,128
1982,126
1983,129
1984,112
1985,111
1986,107
1987,98
1988,112
1989,122
1990,115
1991,114
1992,107
1993,115
1994,107
1995,97
1996,97
1997,98
1998,109
1999,91
2000,95
2001,100
2002,115
2003,137
2004,185
2005,243
2006,150
2007,166
2008,176
2009,180
2010,154
2011,147
2012,166
