year,Annice
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,6
1888,0
1889,5
1890,5
1891,6
1892,7
1893,0
1894,9
1895,5
1896,10
1897,8
1898,8
1899,6
1900,8
1901,10
1902,8
1903,6
1904,10
1905,8
1906,9
1907,6
1908,12
1909,11
1910,8
1911,17
1912,17
1913,17
1914,19
1915,28
1916,23
1917,26
1918,37
1919,28
1920,27
1921,34
1922,23
1923,29
1924,32
1925,26
1926,22
1927,25
1928,27
1929,14
1930,21
1931,31
1932,25
1933,34
1934,20
1935,27
1936,30
1937,35
1938,33
1939,23
1940,27
1941,27
1942,22
1943,32
1944,31
1945,31
1946,23
1947,26
1948,27
1949,33
1950,25
1951,28
1952,25
1953,26
1954,18
1955,15
1956,20
1957,24
1958,20
1959,36
1960,23
1961,22
1962,19
1963,20
1964,20
1965,12
1966,12
1967,13
1968,8
1969,17
1970,0
1971,10
1972,9
1973,10
1974,8
1975,7
1976,8
1977,0
1978,12
1979,9
1980,6
1981,7
1982,8
1983,8
1984,6
1985,6
1986,0
1987,10
1988,8
1989,0
1990,9
1991,5
1992,0
1993,8
1994,5
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,7
2006,0
2007,5
2008,7
2009,0
2010,0
2011,5
2012,0
