year,Authur
1880,10
1881,5
1882,0
1883,6
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,5
1893,0
1894,0
1895,0
1896,10
1897,7
1898,9
1899,0
1900,7
1901,0
1902,7
1903,5
1904,0
1905,6
1906,9
1907,10
1908,0
1909,10
1910,9
1911,8
1912,13
1913,16
1914,12
1915,22
1916,32
1917,29
1918,33
1919,28
1920,30
1921,46
1922,31
1923,27
1924,30
1925,26
1926,31
1927,33
1928,28
1929,22
1930,39
1931,28
1932,37
1933,32
1934,35
1935,24
1936,33
1937,34
1938,33
1939,19
1940,35
1941,36
1942,41
1943,43
1944,36
1945,36
1946,43
1947,41
1948,30
1949,36
1950,40
1951,56
1952,44
1953,56
1954,37
1955,34
1956,41
1957,47
1958,29
1959,26
1960,27
1961,17
1962,21
1963,19
1964,15
1965,17
1966,18
1967,8
1968,21
1969,12
1970,11
1971,19
1972,11
1973,13
1974,14
1975,10
1976,11
1977,15
1978,11
1979,11
1980,12
1981,19
1982,15
1983,13
1984,11
1985,11
1986,6
1987,10
1988,6
1989,8
1990,8
1991,7
1992,8
1993,5
1994,5
1995,8
1996,0
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
