year,Arron
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,9
1916,9
1917,8
1918,12
1919,5
1920,9
1921,11
1922,11
1923,13
1924,12
1925,13
1926,8
1927,7
1928,8
1929,14
1930,8
1931,10
1932,8
1933,5
1934,7
1935,14
1936,7
1937,9
1938,8
1939,6
1940,14
1941,6
1942,9
1943,10
1944,5
1945,9
1946,13
1947,8
1948,15
1949,14
1950,12
1951,10
1952,13
1953,12
1954,15
1955,18
1956,22
1957,16
1958,15
1959,22
1960,34
1961,35
1962,47
1963,43
1964,47
1965,36
1966,58
1967,51
1968,72
1969,78
1970,109
1971,137
1972,128
1973,148
1974,153
1975,176
1976,167
1977,171
1978,189
1979,169
1980,192
1981,187
1982,204
1983,193
1984,199
1985,226
1986,193
1987,189
1988,225
1989,294
1990,234
1991,258
1992,251
1993,231
1994,217
1995,237
1996,196
1997,154
1998,168
1999,139
2000,121
2001,143
2002,101
2003,110
2004,96
2005,88
2006,77
2007,78
2008,66
2009,66
2010,75
2011,54
2012,43
