year,Arne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,8
1906,10
1907,8
1908,10
1909,9
1910,9
1911,13
1912,21
1913,30
1914,44
1915,64
1916,69
1917,63
1918,48
1919,48
1920,50
1921,52
1922,42
1923,37
1924,37
1925,42
1926,38
1927,35
1928,38
1929,42
1930,32
1931,35
1932,28
1933,30
1934,35
1935,22
1936,28
1937,27
1938,29
1939,19
1940,26
1941,35
1942,37
1943,41
1944,43
1945,37
1946,33
1947,48
1948,49
1949,31
1950,44
1951,48
1952,50
1953,54
1954,45
1955,53
1956,49
1957,49
1958,55
1959,48
1960,37
1961,45
1962,34
1963,43
1964,46
1965,47
1966,33
1967,29
1968,28
1969,22
1970,22
1971,33
1972,10
1973,21
1974,18
1975,19
1976,9
1977,8
1978,12
1979,16
1980,13
1981,11
1982,5
1983,9
1984,9
1985,7
1986,8
1987,9
1988,13
1989,7
1990,12
1991,5
1992,8
1993,6
1994,8
1995,8
1996,6
1997,8
1998,0
1999,0
2000,10
2001,5
2002,5
2003,8
2004,0
2005,0
2006,0
2007,0
2008,6
2009,6
2010,0
2011,0
2012,5
