year,Arabella
1880,0
1881,7
1882,0
1883,0
1884,5
1885,11
1886,6
1887,7
1888,12
1889,0
1890,0
1891,6
1892,6
1893,10
1894,9
1895,10
1896,0
1897,6
1898,7
1899,8
1900,7
1901,9
1902,7
1903,8
1904,11
1905,9
1906,5
1907,7
1908,14
1909,8
1910,11
1911,14
1912,9
1913,16
1914,23
1915,21
1916,14
1917,19
1918,18
1919,22
1920,22
1921,15
1922,20
1923,16
1924,17
1925,16
1926,16
1927,10
1928,20
1929,14
1930,8
1931,13
1932,8
1933,9
1934,7
1935,10
1936,12
1937,8
1938,11
1939,9
1940,6
1941,6
1942,8
1943,7
1944,5
1945,0
1946,6
1947,8
1948,9
1949,7
1950,6
1951,6
1952,11
1953,11
1954,8
1955,8
1956,7
1957,8
1958,7
1959,0
1960,6
1961,6
1962,5
1963,7
1964,6
1965,7
1966,8
1967,11
1968,7
1969,6
1970,5
1971,9
1972,10
1973,0
1974,0
1975,0
1976,6
1977,7
1978,6
1979,9
1980,0
1981,10
1982,6
1983,7
1984,0
1985,10
1986,6
1987,0
1988,6
1989,0
1990,12
1991,10
1992,16
1993,21
1994,20
1995,33
1996,25
1997,42
1998,68
1999,58
2000,90
2001,96
2002,137
2003,165
2004,215
2005,326
2006,447
2007,456
2008,467
2009,703
2010,828
2011,938
2012,1308
