year,Ada
1880,652
1881,628
1882,689
1883,778
1884,854
1885,881
1886,921
1887,915
1888,1121
1889,1012
1890,1074
1891,982
1892,1140
1893,1051
1894,1024
1895,1133
1896,1041
1897,966
1898,1027
1899,984
1900,1101
1901,913
1902,929
1903,843
1904,878
1905,873
1906,819
1907,906
1908,922
1909,945
1910,960
1911,939
1912,1274
1913,1288
1914,1499
1915,1826
1916,1867
1917,1853
1918,1950
1919,1831
1920,1828
1921,1763
1922,1688
1923,1646
1924,1590
1925,1507
1926,1467
1927,1357
1928,1221
1929,1137
1930,1039
1931,981
1932,984
1933,876
1934,833
1935,807
1936,750
1937,795
1938,755
1939,702
1940,665
1941,683
1942,709
1943,658
1944,546
1945,527
1946,546
1947,525
1948,534
1949,495
1950,473
1951,513
1952,481
1953,438
1954,443
1955,433
1956,398
1957,393
1958,371
1959,361
1960,351
1961,343
1962,323
1963,303
1964,318
1965,268
1966,243
1967,245
1968,255
1969,223
1970,239
1971,198
1972,205
1973,201
1974,164
1975,189
1976,167
1977,187
1978,197
1979,179
1980,166
1981,180
1982,170
1983,146
1984,161
1985,168
1986,146
1987,157
1988,153
1989,165
1990,176
1991,164
1992,194
1993,137
1994,146
1995,137
1996,134
1997,130
1998,138
1999,174
2000,188
2001,186
2002,202
2003,211
2004,296
2005,325
2006,403
2007,460
2008,521
2009,533
2010,540
2011,598
2012,630
