year,Amie
1880,7
1881,9
1882,9
1883,6
1884,7
1885,14
1886,10
1887,11
1888,16
1889,14
1890,13
1891,13
1892,12
1893,12
1894,17
1895,21
1896,14
1897,30
1898,19
1899,13
1900,24
1901,23
1902,26
1903,20
1904,31
1905,25
1906,30
1907,33
1908,30
1909,48
1910,32
1911,29
1912,31
1913,37
1914,39
1915,59
1916,45
1917,58
1918,44
1919,47
1920,56
1921,63
1922,63
1923,55
1924,58
1925,48
1926,44
1927,49
1928,39
1929,29
1930,33
1931,23
1932,30
1933,29
1934,14
1935,30
1936,21
1937,27
1938,24
1939,24
1940,20
1941,17
1942,26
1943,25
1944,19
1945,17
1946,22
1947,21
1948,15
1949,33
1950,23
1951,24
1952,21
1953,32
1954,36
1955,36
1956,41
1957,27
1958,39
1959,46
1960,54
1961,62
1962,70
1963,56
1964,83
1965,123
1966,138
1967,215
1968,233
1969,361
1970,409
1971,491
1972,588
1973,703
1974,750
1975,925
1976,1084
1977,1029
1978,910
1979,932
1980,981
1981,874
1982,807
1983,619
1984,650
1985,568
1986,463
1987,440
1988,408
1989,336
1990,305
1991,293
1992,230
1993,224
1994,196
1995,189
1996,143
1997,160
1998,125
1999,105
2000,127
2001,153
2002,98
2003,107
2004,125
2005,119
2006,100
2007,113
2008,127
2009,88
2010,97
2011,78
2012,80
