year,Ara
1880,6
1881,8
1882,10
1883,7
1884,18
1885,17
1886,17
1887,16
1888,20
1889,22
1890,22
1891,18
1892,21
1893,24
1894,15
1895,22
1896,21
1897,20
1898,25
1899,12
1900,25
1901,30
1902,20
1903,23
1904,18
1905,17
1906,18
1907,27
1908,25
1909,12
1910,28
1911,23
1912,36
1913,40
1914,49
1915,55
1916,52
1917,45
1918,52
1919,48
1920,59
1921,56
1922,47
1923,49
1924,56
1925,46
1926,58
1927,43
1928,39
1929,46
1930,24
1931,39
1932,37
1933,27
1934,45
1935,35
1936,23
1937,27
1938,19
1939,23
1940,20
1941,19
1942,16
1943,22
1944,23
1945,21
1946,26
1947,11
1948,16
1949,25
1950,13
1951,10
1952,10
1953,11
1954,21
1955,9
1956,14
1957,18
1958,19
1959,14
1960,20
1961,16
1962,18
1963,34
1964,25
1965,28
1966,26
1967,31
1968,18
1969,38
1970,22
1971,37
1972,38
1973,43
1974,50
1975,58
1976,47
1977,40
1978,53
1979,44
1980,50
1981,45
1982,38
1983,38
1984,32
1985,43
1986,39
1987,31
1988,42
1989,45
1990,27
1991,32
1992,23
1993,29
1994,30
1995,24
1996,26
1997,29
1998,32
1999,28
2000,36
2001,23
2002,28
2003,26
2004,27
2005,41
2006,42
2007,28
2008,39
2009,40
2010,40
2011,38
2012,63
