year,Aretha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,7
1903,7
1904,0
1905,6
1906,5
1907,12
1908,9
1909,13
1910,10
1911,12
1912,13
1913,18
1914,24
1915,30
1916,17
1917,33
1918,24
1919,41
1920,31
1921,33
1922,46
1923,45
1924,30
1925,46
1926,39
1927,15
1928,27
1929,32
1930,37
1931,23
1932,39
1933,34
1934,39
1935,36
1936,31
1937,31
1938,30
1939,38
1940,28
1941,20
1942,31
1943,28
1944,33
1945,34
1946,34
1947,32
1948,44
1949,31
1950,36
1951,32
1952,35
1953,26
1954,32
1955,30
1956,38
1957,47
1958,34
1959,44
1960,59
1961,109
1962,131
1963,110
1964,123
1965,148
1966,91
1967,385
1968,544
1969,308
1970,258
1971,236
1972,199
1973,147
1974,152
1975,117
1976,97
1977,91
1978,80
1979,64
1980,55
1981,54
1982,50
1983,33
1984,40
1985,26
1986,34
1987,27
1988,26
1989,23
1990,24
1991,22
1992,17
1993,12
1994,14
1995,9
1996,0
1997,8
1998,7
1999,10
2000,5
2001,6
2002,7
2003,0
2004,0
2005,0
2006,5
2007,0
2008,7
2009,0
2010,7
2011,5
2012,0
