year,Adela
1880,9
1881,7
1882,17
1883,15
1884,11
1885,13
1886,8
1887,17
1888,21
1889,29
1890,23
1891,28
1892,23
1893,32
1894,35
1895,34
1896,28
1897,29
1898,39
1899,36
1900,38
1901,35
1902,33
1903,28
1904,41
1905,36
1906,44
1907,38
1908,35
1909,49
1910,55
1911,63
1912,65
1913,61
1914,74
1915,116
1916,154
1917,138
1918,163
1919,151
1920,161
1921,156
1922,120
1923,122
1924,130
1925,113
1926,111
1927,118
1928,110
1929,105
1930,110
1931,81
1932,101
1933,78
1934,68
1935,86
1936,71
1937,57
1938,75
1939,78
1940,83
1941,90
1942,95
1943,71
1944,100
1945,110
1946,122
1947,119
1948,142
1949,111
1950,122
1951,124
1952,107
1953,130
1954,118
1955,121
1956,127
1957,121
1958,105
1959,105
1960,111
1961,100
1962,108
1963,109
1964,99
1965,91
1966,79
1967,64
1968,70
1969,72
1970,95
1971,76
1972,72
1973,78
1974,85
1975,70
1976,81
1977,73
1978,75
1979,86
1980,77
1981,81
1982,63
1983,69
1984,63
1985,61
1986,76
1987,72
1988,57
1989,85
1990,93
1991,105
1992,85
1993,97
1994,107
1995,97
1996,95
1997,107
1998,152
1999,112
2000,126
2001,119
2002,135
2003,119
2004,120
2005,149
2006,141
2007,143
2008,150
2009,165
2010,128
2011,152
2012,210
