year,Antionette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,7
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,9
1904,0
1905,8
1906,6
1907,9
1908,8
1909,7
1910,12
1911,13
1912,22
1913,25
1914,36
1915,53
1916,55
1917,65
1918,65
1919,53
1920,47
1921,59
1922,57
1923,53
1924,38
1925,45
1926,36
1927,41
1928,49
1929,47
1930,45
1931,30
1932,15
1933,28
1934,28
1935,21
1936,32
1937,20
1938,27
1939,34
1940,31
1941,45
1942,40
1943,36
1944,34
1945,43
1946,42
1947,49
1948,63
1949,68
1950,63
1951,68
1952,85
1953,83
1954,86
1955,107
1956,110
1957,124
1958,120
1959,196
1960,233
1961,222
1962,209
1963,169
1964,175
1965,171
1966,168
1967,192
1968,193
1969,194
1970,205
1971,199
1972,166
1973,155
1974,167
1975,148
1976,138
1977,127
1978,111
1979,135
1980,139
1981,140
1982,149
1983,137
1984,149
1985,150
1986,170
1987,182
1988,173
1989,177
1990,178
1991,157
1992,143
1993,126
1994,98
1995,84
1996,65
1997,66
1998,50
1999,44
2000,36
2001,23
2002,37
2003,37
2004,21
2005,25
2006,28
2007,19
2008,19
2009,15
2010,9
2011,13
2012,9
